                                  Package   Version
abind                               abind     1.4-8
AnnotationDbi               AnnotationDbi    1.74.0
AnnotationFilter         AnnotationFilter    1.36.0
askpass                           askpass     1.2.1
backports                       backports     1.5.1
bamsignals                     bamsignals    1.44.1
base64enc                       base64enc     0.1-6
bezier                             bezier     1.1.2
BH                                     BH  1.90.0-1
Biobase                           Biobase    2.72.0
BiocGenerics                 BiocGenerics    0.58.1
BiocIO                             BiocIO    1.22.0
BiocManager                   BiocManager   1.30.27
BiocParallel                 BiocParallel    1.46.0
BiocVersion                   BiocVersion    3.23.1
Biostrings                     Biostrings    2.80.1
bit                                   bit     4.6.0
bit64                               bit64     4.8.6
bitops                             bitops     1.1-0
blob                                 blob     1.3.0
brew                                 brew    1.0-10
brio                                 brio     1.1.5
bslib                               bslib    0.12.0
cachem                             cachem     1.1.0
callr                               callr     3.8.0
checkmate                       checkmate     2.3.4
cigarillo                       cigarillo     1.2.1
cli                                   cli     3.6.6
clipr                               clipr     0.8.1
colorspace                     colorspace     2.1-3
commonmark                     commonmark     2.0.0
cpp11                               cpp11     0.5.5
crayon                             crayon     1.5.3
credentials                   credentials     2.0.3
curl                                 curl     8.0.0
data.table                     data.table  1.18.6.1
DBI                                   DBI     1.3.0
DelayedArray                 DelayedArray    0.38.2
desc                                 desc     1.4.3
dichromat                       dichromat     2.0-1
diffobj                           diffobj     0.3.8
digest                             digest    0.6.39
downlit                           downlit     0.4.5
ellipsis                         ellipsis     0.3.3
evaluate                         evaluate     1.0.5
fansi                               fansi     1.0.7
farver                             farver     2.1.2
fastmap                           fastmap     1.2.0
fontawesome                   fontawesome     0.5.3
formatR                           formatR      1.14
Formula                           Formula     1.2-6
fs                                     fs     2.1.0
futile.logger               futile.logger     1.4.9
futile.options             futile.options     1.0.1
generics                         generics     0.1.4
GenomeInfoDb                 GenomeInfoDb    1.48.0
GenomicAlignments       GenomicAlignments    1.48.0
GenomicRanges               GenomicRanges    1.64.0
gert                                 gert     2.4.1
ggplot2                           ggplot2     4.0.3
gh                                     gh     1.6.1
gitcreds                         gitcreds     0.1.2
glue                                 glue     1.8.1
gridExtra                       gridExtra     2.3.1
gtable                             gtable     0.3.6
highr                               highr      0.12
Hmisc                               Hmisc     5.2-6
htmlTable                       htmlTable     2.5.0
htmltools                       htmltools     0.5.9
htmlwidgets                   htmlwidgets     1.6.4
httpuv                             httpuv    1.6.17
httr                                 httr     1.4.9
httr2                               httr2     1.3.0
ini                                   ini     0.3.1
IRanges                           IRanges    2.46.0
isoband                           isoband     0.3.0
jquerylib                       jquerylib     0.1.4
jsonlite                         jsonlite     2.0.0
KEGGREST                         KEGGREST    1.52.2
knitr                               knitr      1.51
labeling                         labeling     0.4.3
lambda.r                         lambda.r     1.2.4
later                               later     1.4.8
lazyeval                         lazyeval     0.2.3
lifecycle                       lifecycle     1.0.5
magrittr                         magrittr     2.0.5
MatrixGenerics             MatrixGenerics    1.24.0
matrixStats                   matrixStats     1.5.0
memoise                           memoise     2.0.1
mime                                 mime      0.13
miniUI                             miniUI     0.1.2
openssl                           openssl     2.4.2
otel                                 otel     0.2.0
pak                                   pak    0.11.1
pillar                             pillar    1.11.1
pkgbuild                         pkgbuild     1.4.8
pkgconfig                       pkgconfig     2.0.3
pkgload                           pkgload     1.5.3
png                                   png     0.1-9
praise                             praise     1.0.0
prettyunits                   prettyunits     1.2.0
processx                         processx     3.9.0
profvis                           profvis     0.4.0
promises                         promises     1.5.0
ProtGenerics                 ProtGenerics    1.44.0
ps                                     ps     1.9.3
purrr                               purrr     1.2.2
R6                                     R6     2.6.1
rappdirs                         rappdirs     0.3.4
rcmdcheck                       rcmdcheck     1.4.0
RColorBrewer                 RColorBrewer     1.1-3
Rcpp                                 Rcpp     1.1.2
RCurl                               RCurl 1.98-1.20
rdtools                           rdtools     0.1.0
Rhtslib                           Rhtslib     3.8.0
rjson                               rjson    0.2.23
rlang                               rlang     1.3.0
rmarkdown                       rmarkdown      2.32
rprojroot                       rprojroot     2.1.1
Rsamtools                       Rsamtools    2.28.0
RSQLite                           RSQLite    3.53.3
rstudioapi                     rstudioapi    0.19.0
rversions                       rversions     3.0.0
S4Arrays                         S4Arrays    1.12.0
S4Vectors                       S4Vectors    0.50.2
S7                                     S7     0.2.2
sass                                 sass    0.4.10
scales                             scales     1.4.0
Seqinfo                           Seqinfo     1.2.0
sessioninfo                   sessioninfo     1.2.4
shiny                               shiny    1.14.0
snow                                 snow     0.4-4
sourcetools                   sourcetools   0.1.7-2
SparseArray                   SparseArray    1.12.2
stringi                           stringi     1.8.9
stringr                           stringr     1.6.0
SummarizedExperiment SummarizedExperiment    1.42.0
sys                                   sys     3.4.3
testthat                         testthat     3.3.2
tibble                             tibble     3.3.1
tinytex                           tinytex      0.60
UCSC.utils                     UCSC.utils     1.8.0
usethis                           usethis     3.2.1
utf8                                 utf8     1.2.6
vctrs                               vctrs     0.7.3
viridisLite                   viridisLite     0.4.3
waldo                               waldo     0.6.2
whisker                           whisker     0.4.1
withr                               withr     3.0.3
xfun                                 xfun      0.60
xopen                               xopen     1.0.1
xtable                             xtable     1.8-8
XVector                           XVector    0.52.0
yaml                                 yaml    2.3.12
zip                                   zip     3.0.2
